book_name_kor,book_name_eng,chapter_count
창세기,Genesis,50
출애굽기,Exodus,40
레위기,Leviticus,27
민수기,Numbers,36
신명기,Deuteronomy,34
여호수아,Joshua,24
사사기,Judges,21
룻기,Ruth,4
사무엘상,1 Samuel,31
사무엘하,2 Samuel,24
열왕기상,1 Kings,22
열왕기하,2 Kings,25
역대상,1 Chronicles,29
역대하,2 Chronicles,36
에스라,Ezra,10
느헤미야,Nehemiah,13
에스더,Esther,10
욥기,Job,42
시편,Psalms,150
잠언,Proverbs,31
전도서,Ecclesiastes,12
아가,Song of Solomon,8
이사야,Isaiah,66
예레미야,Jeremiah,52
예레미야애가,Lamentations,5
에스겔,Ezekiel,48
다니엘,Daniel,12
호세아,Hosea,14
요엘,Joel,3
아모스,Amos,9
오바댜,Obadiah,1
요나,Jonah,4
미가,Micah,7
나훔,Nahum,3
하박국,Habakkuk,3
스바냐,Zephaniah,3
학개,Haggai,2
스가랴,Zechariah,14
말라기,Malachi,4
마태복음,Matthew,28
마가복음,Mark,16
누가복음,Luke,24
요한복음,John,21
사도행전,Acts,28
로마서,Romans,16
고린도전서,1 Corinthians,16
고린도후서,2 Corinthians,13
갈라디아서,Galatians,6
에베소서,Ephesians,6
빌립보서,Philippians,4
골로새서,Colossians,4
데살로니가전서,1 Thessalonians,5
데살로니가후서,2 Thessalonians,3
디모데전서,1 Timothy,6
디모데후서,2 Timothy,4
디도서,Titus,3
빌레몬서,Philemon,1
히브리서,Hebrews,13
야고보서,James,5
베드로전서,1 Peter,5
베드로후서,2 Peter,3
요한 1서,1 John,5
요한 2서,2 John,1
요한 3서,3 John,1
유다서,Jude,1
요한계시록,Revelation,22
